iter	Passed	Remaining
616	4536	2816
617	4542	2807
618	4547	2799
619	4553	2790
620	4560	2783
621	4567	2775
622	4575	2769
623	4582	2761
624	4589	2753
625	4595	2745
626	4602	2737
627	4608	2730
628	4616	2723
629	4622	2714
630	4627	2706
631	4632	2697
632	4638	2689
633	4645	2681
634	4652	2674
635	4659	2666
636	4665	2658
637	4672	2651
638	4678	2643
639	4690	2638
640	4701	2633
641	4711	2627
642	4719	2620
643	4724	2611
644	4730	2603
645	4736	2595
646	4745	2589
647	4752	2581
648	4757	2572
649	4764	2565
650	4770	2557
651	4775	2548
652	4782	2541
653	4787	2532
654	4792	2524
655	4799	2516
656	4805	2508
657	4810	2500
658	4817	2492
659	4823	2484
660	4829	2477
661	4836	2469
662	4841	2460
663	4846	2452
664	4852	2444
665	4858	2436
666	4866	2429
667	4871	2421
668	4876	2412
669	4884	2405
670	4889	2397
671	4897	2390
672	4904	2382
673	4913	2376
674	4925	2371
675	4934	2364
676	4940	2357
677	4949	2350
678	4955	2342
679	4960	2334
680	4966	2326
681	4972	2318
682	4978	2310
683	4984	2302
684	4990	2294
685	4997	2287
686	5002	2279
687	5008	2271
688	5015	2263
689	5022	2256
690	5029	2249
691	5035	2241
692	5041	2233
693	5050	2226
694	5059	2220
695	5067	2213
696	5074	2205
697	5083	2199
698	5090	2191
699	5097	2184
700	5103	2176
701	5107	2168
702	5116	2161
703	5123	2154
704	5128	2145
705	5136	2139
706	5145	2132
707	5152	2124
708	5159	2117
709	5167	2110
710	5174	2103
711	5180	2095
712	5187	2088
713	5195	2081
714	5200	2073
715	5207	2065
716	5213	2057
717	5220	2050
718	5226	2042
719	5236	2036
720	5243	2029
721	5251	2021
722	5257	2014
723	5264	2006
724	5270	1999
725	5277	1991
726	5284	1984
727	5293	1977
728	5301	1970
729	5309	1963
730	5316	1956
731	5325	1949
732	5335	1943
733	5345	1937
734	5354	1930
735	5363	1923
736	5371	1916
737	5381	1910
738	5389	1903
739	5398	1896
740	5404	1889
741	5415	1883
742	5423	1876
743	5432	1869
744	5438	1861
745	5445	1853
746	5450	1846
747	5457	1838
748	5466	1832
749	5477	1825
750	5487	1819
751	5494	1812
752	5502	1804
753	5512	1798
754	5521	1791
755	5532	1785
756	5539	1778
757	5547	1771
758	5557	1764
759	5566	1757
760	5574	1750
761	5582	1743
762	5589	1736
763	5598	1729
764	5607	1722
765	5615	1715
766	5624	1708
767	5632	1701
768	5640	1694
769	5648	1687
770	5656	1680
771	5664	1672
772	5672	1665
773	5679	1658
774	5686	1650
775	5694	1643
776	5704	1637
777	5716	1631
778	5726	1624
779	5734	1617
780	5742	1610
781	5748	1602
782	5754	1594
783	5763	1587
784	5770	1580
785	5777	1573
786	5784	1565
787	5792	1558
788	5799	1550
789	5807	1543
790	5814	1536
791	5821	1528
792	5828	1521
